truncated_sentence,genre,generated_sentence,model
"If possible ,",religion, add a separate layer of complexity as far as possible.,openai-community/gpt2
"If possible ,",religion, make sure you are at least 32 bytes long).,openai-community/gpt2
"If possible ,",religion," please contact us:

1.",openai-community/gpt2
It was enough,romance, for one woman.,openai-community/gpt2
It was enough,romance," to cause the whole area of the town to quake a little, if not completely, so it probably hurt everybody on our watch.""

Rohmermann said the quake was felt twice at high speeds into the morning, and on",openai-community/gpt2
It was enough,romance," for the New Orleans Times-Picayune to say that ""the country would be better off if Mr.",openai-community/gpt2
The school year,government," to the point of becoming an absolute mess, despite having so few players on campus.",openai-community/gpt2
The school year,government," had just started, so her grades were already in the low 40's, which should've been a problem for her in her first year.

""Then, suddenly, my grades started falling. But not because I was failing this",openai-community/gpt2
The school year,government," ended with a bang of celebrations in New Orleans that brought a lot of attention to the football team's accomplishments.

""The good thing is that we have been able to put together a school year in such a beautiful atmosphere and it",openai-community/gpt2
As a source,government," of pride, he also enjoys his friends and family.

""At a time when all of us have families that are still young, young,"" he said. ""But that's not all we have.""

He said that",openai-community/gpt2
As a source,government,", it's fair to say that a $500,000 payment might not be considered unreasonable and even in our opinion not unreasonable.",openai-community/gpt2
As a source,government,", he was keen to prove he was ""good enough"".",openai-community/gpt2
Members of The,government," Council of the Holy Cross (COSCO) were charged with the attempted murder in December of 2002 and were charged in September 2005 with killing one of the Council's members, John W.",openai-community/gpt2
Members of The,government," House GOP think tank say Trump's travel ban should be extended or revoked under some circumstances -- including those that result in terrorism. (Jenny Starrs/The Washington Post)

If Congress takes action to halt such bans, the",openai-community/gpt2
Members of The,government, Church should be able to do so on the internet.,openai-community/gpt2
If the wedding,lore," was attended by a family of seven or more, the bride-to-be was required to wear no more than the same shirt and skirt worn by the bride-to-be but were not required to take part in a ceremony.",openai-community/gpt2
If the wedding,lore," was to be taken, a wedding photographer should have made sure that not a single lens was used,"" said Ms Shavik, noting that some wedding photographers were already using the technology and that they chose not to use it in tandem with",openai-community/gpt2
If the wedding,lore," is to be annulled by one side, the parties must also agree to form a joint and legally binding legal representative and representative group.",openai-community/gpt2
"About 16,000 military members",news," to visit the United States since the end of World War II, the CIA collects around 30,000 messages a year.",openai-community/gpt2
"About 16,000 military members",news,", military officers and veterans have reached their goals of retirement by 2025.",openai-community/gpt2
"About 16,000 military members",news," of the Syrian National Coalition, and many others, were also killed by government forces in Aleppo during a long-held advance that took thousands of residents from their homes, which has left their entire village on the outskirts of the",openai-community/gpt2
Ten salesmen were tested,learned, in four different locations.,openai-community/gpt2
Ten salesmen were tested,learned, using both the US Military Academy's Army's Army of Air Force and their training-based unit.,openai-community/gpt2
Ten salesmen were tested,learned," and tested them up and down until a few months later, when they found that they had only 1% of the products.",openai-community/gpt2
Since the hero,reviews," is a thief, the player gains bonuses from other players, while players gain bonus XP from loot.",openai-community/gpt2
Since the hero,reviews," and his wife are dead, the woman on the other side of the door will look to find a silver bowl filled with a substance of gold.

""Why am I here?"" Ye Zichen said with a cold heart. He",openai-community/gpt2
Since the hero,reviews," of the story who died in Afghanistan, Sibil Sibil, has been on the front lines with the Taliban, and his death is one that has been celebrated in Kabul for so long -- including at the funeral of his wife",openai-community/gpt2
"But even so ,",editorial," as he is about to enter the fourth month of his fourth year of age, there remained some hesitation.

""This is a long year to start before I'm ready for bed, you know,"" he said excitedly.",openai-community/gpt2
